Link Download Data.csv melalui Google Drive : https://drive.google.com/file/d/1vWSrtUl7p_IMncHl1r9tM5mihMhrzpYM/view?usp=sharing

,Account,Post,Tag,Likes,Comments
72,rusmandamiris,,[],4,[]
73,rusmandamiris,,[],5,[]
74,rusmandamiris,,[],6,[]
75,rusmandamiris,,[],2,[]
76,rusmandamiris,Minyak lentik buat urut..,[],2,['Mantab pak']
77,rusmandamiris,,[],3,[]
78,rusmandamiris,,[],6,[]
79,rusmandamiris,,[],4,[]
80,rusmandamiris,,[],2,[]
81,rusmandamiris,,[],3,[]
82,rusmandamiris,,[],2,[]
83,rusmandamiris,,[],2,[]
84,rusmandamiris,,[],8,['Ngeriung..']
85,rusmandamiris,,[],2,[]
86,rusmandamiris,Ngaprot..,[],2,[]
87,rusmandamiris,,[],5,[]
88,rusmandamiris,,[],2,[]
89,rusmandamiris,,[],3,[]
90,rusmandamiris,,[],4,[]
91,rusmandamiris,,[],0,[]
92,rusmandamiris,,[],4,[]
93,rusmandamiris,,[],3,[]
94,rusmandamiris,Kocakkkk....,[],3,[]
95,rusmandamiris,Aku dan dia,[],8,['Cie cie ehm']
96,rusmandamiris,,[],3,[]
97,rusmandamiris,Semangat jiwa,[],4,[]
98,rusmandamiris,,[],6,[]
99,rusmandamiris,Ronda h +3,[],6,[]
100,rusmandamiris,Cape dech???,[],2,[]
101,rusmandamiris,Ohhh,[],1,[]
102,rusmandamiris,,[],4,"['Keluarga besar kah tu....', 'Iya']"
103,rusmandamiris,,[],4,[]
104,rusmandamiris,Keliling taman safari,[],0,[]
105,rusmandamiris,Aku dan dia,[],3,[]
106,rusmandamiris,Nenghitung laba detik demi detik,[],1,[]
107,rusmandamiris,,[],1,[]
108,rusmandamiris,,[],3,[]
109,novitanovnov_,"[OLIMPIADE MATEMATIKA - JAMBORE SD - SEMINAR - LOMBA ESAI NASIONAL]
.
Rumpun Matematika FMIPA UNJ dengan bangga mempersembahkan :
.  PELANGI MATEMATIKA XXVI
.
Haloo sahabat Pelangi
Banyak acara menarik untuk berbagai kategori nih, ingin tau apa aja? yuk baca dulu yg dibawah ini 
.
.
1 Olimpiade Matematika
(Untuk siswa/i SD, SMP, SMA se-Nasional)
.
Tema
Aksi Berprestasi Seindah Pelangi
.
Biaya Pendaftaran
SD (Rp 100.000/orang)
SMP (Rp 150.000/orang)
SMA (Rp 150.000/orang)
.
Buku Panduan: 
bi.ly/SKOlimpiadePelangiXXVI
.
Registrasi dgn mengisi:
bit.ly/OlimPelangiXXVI
.
2 Jambore Matematika
(Untuk SD kelas 4-6)
.
Tema
""Memecahkan Teka-Teki dengan Berpetualang Bersama Pelangi""
.
Biaya Pendaftaran
Rp300.000/Tim
.
Buku Panduan
bit.lt/BukuPanduanJamboreSDPelangiXXVI
.
Registrasi dgn mengisi
bit.ly/JamboreSDPelangiXXVI
.
3 Seminar
(Untuk Mahasiswa, Guru, dan Umum)
.
Tema 
Pendidik Hebat, Pembelajar Tangguh
.
Pembicara
Ahmad Dimyati Maestro
(Jawara Motivasi No. 1 Banten - Dosen UMT Indosensia - Hypnoterapist IBH)
.
Biaya Pendaftaran 
Rp 30.000/orang (OTS : Rp 40.000/orang)
.
Registrasi dgn mengisi 
bit.ly/SeminarPelangiXXVI
.
4 Lomba Esai Nasional
(Untuk Mahasiswa) .
Tema ""Peran Matematika dalam Mewujudkan Pembangunan Berkelanjutan di Era Revolusi Industri 4.0""
.
Subtema
1. Matematika dalam Pendidikan
2. Matematika dalam Teknologi
3. Matematika dalam Sosial Budaya
4. Matematika dalam Ekonomi
.
Biaya Pendaftaran  40.000/naskah
.
Buku Panduan
bit.ly/BukuPanduanEsaiPelangiXXVI
.
Registrasi dgn mengisi:
bit.ly/EsaiPelangiXXVI
.
.
Masih bingung?
Yuk tanya ke kontak berikut
 : 082125363510 (Sulthon) .
 : 082114077052 (Ratna)
. 
IG : https://www.instagram.com/pelangimtk_unj/
FB : https://www.facebook.com/PelangiMatematikaUNJ
Line : @rwo0168r
E-mail : hpdpelangimtk@gmail.com

 Pelangi Matematika XXVI",[],21,[]
110,novitanovnov_,"Mari berproses, wahai orang2 hebat ",[],77,['Ga ah']
111,novitanovnov_,Merindu,[],58,"['Meuni indah', 'Novitasari WWW. PERFECTLIKER .COM']"
112,novitanovnov_,Arumba team ,[],52,[]
113,novitanovnov_,Orang ini . Everything ,[],29,[]
114,novitanovnov_,Ini ekspresi kami.mana rkspresi kalian #sman7garuthitz,['sman7garuthitz'],33,"['Nu ngango acuk oren taupik hidayat sanes nami.a ?!! @novitasari26119963', 'Muhun @putra_bngs', 'Salam kango topik ti paman q2uh @novitasari26119963', 'Muhun @putra_bngs']"
115,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",22,"['follback dan likeback kak sudah aku follow dan like', 'salken ya, boleh minta follback dan likeback?', 'ai_databaseai_database', 'Follback & Likeback Ya Coy....']"
116,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",7,"['Thkh km? ttn dl ntk wnt dlh 165 m dn 170 m ntk km jk km lk-lk, prtnyny sdhkh ttn km sdl t? kl blm jn khwtr, d sls y bs km pk ntk mslhm, k slsny d  k y..']"
117,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",3,[]
118,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",1,[]
119,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",0,[]
120,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 50k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",0,[]
121,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",0,[]
122,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",0,[]
123,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",1,['follback+like']
124,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",0,[]
125,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",0,[]
126,mrsaisa5,"hari ini saya menawarkan bisnis kerja yang enteng gaji fullteng. bisa kapan, dimana saja tanpa ribet  tidak harus ikut pertemuan  tanpa tutup point bulanan
tanpa ribet2 ngecek ongkir
tidak perlu ongkos kirim ( kecuali yang buka olshop) 
kita bisa menjalankan kapan dan dimana saja karen kita menjalankan full online .
modal 100k sekali seumur hidup
transferan masuk terus
rekening gendut ( kalau kalian rajin)
masih banyak dan peluang besar. apakah anda ingin sukses yuks join sekarang !!!
#bisnisdatabasemurah#bisnisdatabasemurah#pinkonveksimurah#databasemurah#databaseindonesiasupplier#database100ribu#databasetermurah#databasemurahbangetbanget#database50#databaseseindomurah#databaseseindosupplier","['bisnisdatabasemurah', 'bisnisdatabasemurah', 'pinkonveksimurah', 'databasemurah', 'databaseindonesiasupplier', 'database100ribu', 'databasetermurah', 'databasemurahbangetbanget', 'database50', 'databaseseindomurah', 'databaseseindosupplier']",1,[]
127,didiksatia,,[],17,"['Saling follback ya kak, makasih', 'di fllbck dong akunya didiksatia', 'follback dan likeback yo kak udah difollow kok', 'Likeback dan follback hihi salam kenal ya  didiksatia', 'follbackk  didiksatia']"
128,eduslit,,[],17,[]
129,mrantau,Misteri ular sendok,[],5,[]
130,mrantau,Pergantian kondensor Showase oleh oleh team pencari masalah.Yossh!,[],4,[]
131,mrantau,Pengelasan Kebocoran freon pd evap (unit indor),[],6,[]
132,mrantau,"Assalamu'alaykum
Yuk gan,sis.Yg AC nya g dingin,mau cuci AC,mindahin unit,pasang baru,kulkas,showcase,mesin cuci apa aja in sya Alloh.jg lupa chat &cod an y.#salamsukses",['salamsukses'],5,[]
133,mrantau,Uasseeeeemmmmm,[],1,[]
134,mrantau,Pengelasan kebocoran dilekukan evab,[],6,[]
135,mrantau,Penyambungan pipa AC part 2,[],5,[]
136,mrantau,Proses penyambungan pipa AC dg mengelas,[],6,"['Nmr WAmu ndi mas?', '085775490931,nek ndi sak iki kang?']"
137,mrantau,Auto2000 CAO sunter,[],9,"['Alih profesi nih', 'Mantap', 'Iyaa pak cahar,banting stirr doelo']"
138,mrantau,"Assalamu'alaykum
Bagi sahabat2 dumay,yuk yg mau perawatan AC,cuci AC,bongkar pasang AC,AC tdk dingin,kulkas,mesin cuci,showcase jg sungkan2 buat chat/cod an.Wilayah JakTim,pusat,utara,bekasi Note: (Barat,selatan in sya Alloh bisa minimal 3/unit )",[],6,[]
139,alwan3117,Roftop,[],10,[]
140,alwan3117,"Beauty sketch
3 new post 
#lfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfl #l4likeforlikesback #lfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff","['lfllfllfllfllfllfllfllfllfllfl', 'l4likeforlikesback', 'lfffffffffffffffffffffffffffff']",26,[]
141,alwan3117,"Teach to be a fool
#addme#followersaktif #likeforlikes#l4likeforlikesback","['addme', 'followersaktif', 'likeforlikes', 'l4likeforlikesback']",29,[]
142,alwan3117,"Ketika hati berkata iya maka lakukanlah sesuai kemauannya
#lfl #lfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfl #l4likeforlikesback #likeforlikes","['lfl', 'lfllfllfllfllfllfllfllfllfllfl', 'l4likeforlikesback', 'likeforlikes']",35,"['Lfl 6 pict', 'Lfl', 'Lfl 2newpost U1 auto LB thanks ', 'Lb kaka no php']"
143,alwan3117,"Just miss you 
@irwan_handrias #lfl#lfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfllfl #lfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff #l4like #l4likeforlikesback #l4likeforlikesback@dgrjakarta2018","['lfl', 'lfllfllfllfllfllfllfllfllfllfl', 'lfffffffffffffffffffffffffffff', 'l4like', 'l4likeforlikesback', 'l4likeforlikesback']",29,"['Lfl', 'Lfl', 'Lfl  new pic', 'Lfl 3newpost', 'Lfl ke akun @rindyslv376', 'Done']"
144,jani4321gmail.com4706,,[],2,"['belanja y k lulu gak ajak2', '..']"
145,jani4321gmail.com4706,Ggghhy,[],0,[]
146,jani4321gmail.com4706,Baes is,[],1,"['salken, btw follback ya', 'Sifa dah gede aja..Kapan diajak ke sini..', 'Entar klau udah selseai sekolah paud nya @idapianida32']"
147,jani4321gmail.com4706,Jaes black,[],4,[]
148,jani4321gmail.com4706,Jus is on,[],0,[]
149,jani4321gmail.com4706,Jangan luh pikir gw takut ak nga takut hanya takut sama alloh swt ajah,[],2,[]
150,jani4321gmail.com4706,"Maen is black 
Goo,,,????
",[],0,[]
151,jani4321gmail.com4706,,[],0,[]
152,jani4321gmail.com4706,Ma7 is yuo tred,[],0,[]
153,jani4321gmail.com4706,,[],1,[]
154,jani4321gmail.com4706,,[],0,[]
155,jani4321gmail.com4706,,[],1,[]
156,jani4321gmail.com4706,,[],1,[]
157,jani4321gmail.com4706,,[],1,[]
158,jani4321gmail.com4706,,[],0,[]
159,jani4321gmail.com4706,,[],1,[]
160,jani4321gmail.com4706,,[],1,[]
161,jani4321gmail.com4706,,[],1,[]
162,jani4321gmail.com4706,,[],1,[]
163,jani4321gmail.com4706,,[],0,[]
